step,this_project,literature,match,key_refs
CGM resampling frequency,"5-min grid via resample(""5min"").mean()","Universal 5-min grid, matches native CGM sampling rate",Match,MB20; MSEM20; XW20
Missing CGM values,"Rows dropped, never interpolated","Split: MSEM20 also drops/skips; ZLHG18 interpolates (linear reduces RMSE by 2.1 mg/dL)",Partial (matches one branch),MSEM20; ZLHG18
Missing wearable sensor values,"Rows dropped, never interpolated (same policy as glucose)","Usually linearly interpolated with bounded gap limit (e.g. limit=6 samples/30min)",Deviates (stricter),ZLHG18
Missing event features (carbs/bolus),NaN -> 0 (absence of event),Standard zero-fill for event channels,Match,MB20; ZLHG18
Sentinel / out-of-range values,"Glucdict ""Low"" -> 39.0 mg/dL","Consistent with Dexcom G6 40 mg/dL detection floor",Match,device spec
Outlier / physiological clipping,None beyond device range,Not commonly applied either,Match,
Normalization / scaling,"StandardScaler (z-score), fit on train only","Mixed: MSEM20 uses fixed x0.01 scalar; most ML benchmarks use train-fit z-score/min-max",Match (dominant convention),MSEM20
Model personalization,Per-patient (scaler + model per patient),Standard BGLP-challenge protocol is per-patient,Match,MB20; MSEM20; XW20
History window length,12 steps = 60 minutes,60 min is literature-optimal for 30/60-min horizons,Match,MSEM20
Prediction horizon,6 steps = 30 minutes,30 and 60 min are the two standard BGLP horizons,Match,MB20; MSEM20; XW20
Train/val/test split,"Official OhioT1DM train/test files, val carved from chronological end of train","Chronological; some use official split (matches ours), MSEM20 uses ad hoc 60/20/20",Match,MB20; XW20
Cross-validation strategy,Walk-forward via TimeSeriesSplit,Walk-forward/blocked CV is accepted standard for autocorrelated series,Match,Cerqueira 2020; Bergmeir 2012
